violence_physique,ctrl_score,ethnicite,transmission_intergen,alcool_partenaire,ecart_age,age_femme,religion,age_partenaire,region,occupation_partenaire,age_premiere_union,age_premier_rapport,richesse,education_partenaire,education_femme,attitude_score,autonomie_score,polygamie,residence_partenaire,milieu
1,3,98,0.0,2.0,16.0,31,1,47.0,5,62.0,13,13.0,2,0.0,2,0.0,0,0.0,1.0,1
0,1,3,0.0,,10.0,20,4,30.0,5,73.0,16,16.0,3,0.0,1,0.0,0,1.0,1.0,1
0,4,101,0.0,1.0,9.0,26,2,35.0,5,96.0,14,14.0,3,2.0,1,2.0,1,1.0,2.0,1
0,0,55,0.0,,14.0,37,4,51.0,5,12.0,17,18.0,3,2.0,0,0.0,0,0.0,1.0,1
0,4,54,0.0,,5.0,15,4,20.0,5,78.0,14,14.0,2,1.0,1,3.0,1,0.0,2.0,1
1,4,48,1.0,1.0,9.0,36,1,45.0,5,11.0,14,14.0,2,2.0,1,0.0,1,0.0,1.0,1
0,2,3,0.0,,9.0,18,4,27.0,5,66.0,15,16.0,3,2.0,1,0.0,0,0.0,1.0,1
0,0,48,0.0,,6.0,41,1,47.0,5,11.0,30,15.0,3,1.0,1,0.0,0,2.0,2.0,1
0,0,5,0.0,,20.0,40,4,60.0,5,75.0,13,14.0,3,0.0,0,0.0,0,1.0,2.0,1
1,4,55,0.0,,,32,2,,5,,19,17.0,3,,1,0.0,0,,,1
0,0,3,0.0,,9.0,16,4,25.0,5,66.0,13,14.0,2,1.0,1,0.0,1,0.0,1.0,1
1,0,101,0.0,2.0,11.0,26,5,37.0,5,42.0,19,15.0,3,2.0,0,0.0,0,0.0,1.0,1
1,3,33,1.0,1.0,1.0,27,1,28.0,5,52.0,14,14.0,2,2.0,1,4.0,0,0.0,1.0,1
0,4,256,1.0,0.0,1.0,33,1,34.0,4,11.0,14,15.0,2,2.0,1,0.0,0,0.0,1.0,2
1,0,256,0.0,2.0,,22,2,,4,,19,15.0,1,,1,0.0,0,,,2
0,4,256,0.0,1.0,19.0,18,1,37.0,4,46.0,16,16.0,3,3.0,2,3.0,2,0.0,1.0,2
1,0,256,1.0,2.0,-3.0,35,1,32.0,4,11.0,21,14.0,2,2.0,1,0.0,0,0.0,1.0,2
1,5,256,0.0,1.0,11.0,23,2,34.0,4,66.0,17,16.0,2,2.0,2,0.0,2,0.0,1.0,2
